question,answer,metadata_branch_name,metadata_address,metadata_timetable,metadata_phone,metadata_opening_time,metadata_closing_time
"where is the mungun taiga center, express atm branch located?","12th khoroo, 6th micro district, mungun taiga center","mungun taiga center, express atm","12th khoroo, 6th micro district, mungun taiga center",mon-sun 8am-11pm,1800-1888,08:00,23:00
where is the ikh mongol branch branch located?,"ikh mongol plaza 1st floor, 11th khoroo, khan-uul district
what3words: ///moves.sweeter.blogging",ikh mongol branch,"ikh mongol plaza 1st floor, 11th khoroo, khan-uul district
what3words: ///moves.sweeter.blogging","monday - friday: 9:00am-5:00pm
saturday, sunday: сlosed",1800-1888,09:00,17:00
"what is the name of the branch located at 4th khoroo, seoul road, tushig branc xac bank?","4th khoroo, seoul road, tushig branc xac bank","tushig branch, express bank атм","4th khoroo, seoul road, tushig branc xac bank",mon-sun 24 hour,1800-1888,06:00,23:59
is the xacbank bayangol branch atm branch open on sunday?,yes,xacbank bayangol branch atm,"micro-region #13, ard ayush avenue,  district #3, xacbank bayangol branch",mon-sun 24 hour,1800-1888,08:00,23:59
where is the night plaza trade center express atm branch located?,"micro-region #14, nam yanju str, night plaza trade center",night plaza trade center express atm,"micro-region #14, nam yanju str, night plaza trade center","thursday closed,
mon-sun: 11:00-24:00",nan,11:00,23:59
where is the shine orchin branch branch located?," building of ""darkhan teever"" co.,ltd, 6th bag, darkhan soum
what3words: /// edicts.constitutions.palettes",shine orchin branch," building of ""darkhan teever"" co.,ltd, 6th bag, darkhan soum
what3words: /// edicts.constitutions.palettes","monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
where is the yarmag food city crm-atm branch located?,"4rd khoroo, yarmag food city",yarmag food city crm-atm,"4rd khoroo, yarmag food city",mon-sun 9-20 hours,1800-1888,09:00,19:59
where is the tenger plaza shopping center атм branch located?,"8th khoroo, tenger plaza center",tenger plaza shopping center атм,"8th khoroo, tenger plaza center",mon-sun 8am-12pm,1800-1888,08:00,23:59
what are the opening hours for minii supermarket atm branch?,"opening time: 08:00, closing time: 22:00",minii supermarket atm,"12th khoroo, 1st microdistrict, sappora minii supermarket ",mon-sun 8am-10pm,1800-1888,08:00,22:00
what are the opening hours for khargant market атм branch?,"opening time: 09:00, closing time: 20:00",khargant market атм,"zavkhan province, tosontsengel, trade street, khargant market",mon-sun 9am-8pm,1800-1888,09:00,20:00
"is the tod 2 shopping center, express atm  branch open on sunday?",yes,"tod 2 shopping center, express atm ","selenge province, mandal, tod 2 shopping center ",mon-sun 9am-9pm,1800-1888,09:00,21:00
is the zam zuur supermarket  атм branch open on sunday?,yes,zam zuur supermarket  атм,"1st khoroo, zam zuur supermarket ",mon-sun 8am-12pm,1800-1888,08:00,23:59
where is the central hospital-1 branch located?,"1-khoroo, central hospital-1",central hospital-1,"1-khoroo, central hospital-1",06:00-00:00,1800-1888,06:00,23:59
"what is the name of the branch located at bayanzurkh district, 26th khoroo, dunjingarav trade center ?","bayanzurkh district, 26th khoroo, dunjingarav trade center ","dunjingarav trade center, express atm","bayanzurkh district, 26th khoroo, dunjingarav trade center ","tue-sun 10am-7:30 pm
monday closed",1800-1888,10:00,19:30
is the unur branch branch open on sunday?,yes,unur branch,"building, аос-43/b, 1st khoroolol, 17th horoo, moscow avenue, songinokhairkhan 
what3words: /// swooning.moderated.unique","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
what are the opening hours for od shopping center атм branch?,"opening time: 10:00, closing time: 20:00",od shopping center атм,"orkhon province, bayan-undur , urtbulag, 5th mikr, od shopping center",mon-sun 10am-8pm,1800-1888,10:00,20:00
"is the ulaankhuaran eco market, atm branch open on sunday?",yes,"ulaankhuaran eco market, atm","8th khoroo, ulaankhuaran eco market",mon-sun: 09am-6pm,1800-1888,09:00,18:00
"what are the opening hours for tumbaash center, express atm  branch?","opening time: 08:00, closing time: 20:00","tumbaash center, express atm ","7th khoroo, bayankhoshuu old bus station, tumbaash center",mon-sun 8am-8pm,1800-1888,08:00,20:00
"what is the name of the branch located at umnugovi province, khanbogd, dulguun supermarket ?","umnugovi province, khanbogd, dulguun supermarket ",dulguun supermarket атм,"umnugovi province, khanbogd, dulguun supermarket ",mon-sun 9am-10pm,1800-1888,09:00,22:00
"what is the name of the branch located at 19th khoroo, 4th microdistrict, tavan-erdene market ?","19th khoroo, 4th microdistrict, tavan-erdene market ",tavan-erdene market атм,"19th khoroo, 4th microdistrict, tavan-erdene market ",mon-sun 9am-8pm,1800-1888,09:00,20:00
"where is the khasy shopping center, express atm branch located?","arkhangai province, erdenebulgam sum, khasu shopping center","khasy shopping center, express atm","arkhangai province, erdenebulgam sum, khasu shopping center","mon-sat 9am-9pm
sanday closed",1800-1888,09:00,21:00
"what are the opening hours for bayalag-undraa market, express atm-3 branch?","opening time: 08:00, closing time: 20:00","bayalag-undraa market, express atm-3","14th khoroo, sun road, bayanzurkh district, bayalag undraa center ","mon-sun 8am-8pm  
tuesday closed",1800-1888,08:00,20:00
"what are the opening hours for shilen market, express atm  branch?","opening time: 09:00, closing time: 20:00","shilen market, express atm ","govi-altai province, esunbulag, shilen market",mon-sun 9am-8pm,1800-1888,09:00,20:00
where is the misheel center walking street атм branch located?,19th misheel center walking street,misheel center walking street атм,19th misheel center walking street,mon-sun 8am-10pm,1800-1888,08:00,21:00
is the gmg shopping center branch open on sunday?,yes,gmg shopping center,"9th khoroo, bayankhoshuu street, jantsan bus station, gmg shopping center ",mon-sun 8am-8pm,1800-1888,08:00,20:00
"what is the name of the branch located at xacbank building, 2nd horoo, damdin street, nalaikh district
what3words: /// psychotics.martyr.canal?","xacbank building, 2nd horoo, damdin street, nalaikh district
what3words: /// psychotics.martyr.canal",nalaih branch,"xacbank building, 2nd horoo, damdin street, nalaikh district
what3words: /// psychotics.martyr.canal","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
"what is the name of the branch located at xacbank building, 8th bag, darhan soum
what3words: /// canes.mountainous.whimpered?","xacbank building, 8th bag, darhan soum
what3words: /// canes.mountainous.whimpered",darhan branch,"xacbank building, 8th bag, darhan soum
what3words: /// canes.mountainous.whimpered","monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
"where is the icc tower, express atm branch located?","1st committee, jamiyan gun street, right side of ministry of health, icc tower","icc tower, express atm","1st committee, jamiyan gun street, right side of ministry of health, icc tower",mon-sun 8am-8pm,1800-1888,08:00,20:00
what are the opening hours for buyant-ukhaa market atm branch?,"opening time: 10:00, closing time: 21:00",buyant-ukhaa market atm,"micro-region #9, nisekh district, buyant-ukhaa market",mon-sun: 10:00-21:00,1800-1888,10:00,21:00
where is the best massage atm branch located?,"khan-uul district, 3rd khoroo, union of the black eyed peas of mongolia, best massage ",best massage atm,"khan-uul district, 3rd khoroo, union of the black eyed peas of mongolia, best massage ",mon-sun 9am-8pm,1800-1888,09:00,20:00
"where is the well mart supermarket, express atm branch located?","khan-uul district, 11st khoroo, buyant ukhaa, well mart ","well mart supermarket, express atm","khan-uul district, 11st khoroo, buyant ukhaa, well mart ",mon-sun 9am-10pm,1800-1888,09:00,22:00
where is the erdenet branch branch located?,"xacbank building, oyut bag, erdenet hot, bayan-undur soum
what3words: /// rinses.reputable.because",erdenet branch,"xacbank building, oyut bag, erdenet hot, bayan-undur soum
what3words: /// rinses.reputable.because","monday - friday: 08:30am-04:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
is the dundgovi branch branch open on sunday?,yes,dundgovi branch,"xacbank building, buyannemeh street-18, 7th bag, mandalgobi soum
what3words: /// tournaments.expertly.pillbox","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
is the yarmag food city crm-atm branch open on sunday?,yes,yarmag food city crm-atm,"4rd khoroo, yarmag food city",mon-sun 9-20 hours,1800-1888,09:00,19:59
"what is the name of the branch located at khan-uul district, 6th khoroo, yarmag ulziit supermarket?","khan-uul district, 6th khoroo, yarmag ulziit supermarket",yarmag ulziit supermarket атм,"khan-uul district, 6th khoroo, yarmag ulziit supermarket",mon-sun 8am-10pm,1800-1888,08:00,21:59
"what are the opening hours for dornod branch, express атм branch?","opening time: 00:00, closing time: 23:59","dornod branch, express атм","dornod province, kherlen, chit street, xacbank ",mon-sun 24 hour,1800-1888,00:00,23:59
is the sukhbaatar 08 branch crm branch open on sunday?,yes,sukhbaatar 08 branch crm,"7th khoroo, 11th microdistrict, erkhuu road, sukhbaatar branch xac bank",mon-sun 24 hours,18001888,00:00,23:59
is the dundgovi branch branch open on sunday?,yes,dundgovi branch,"xacbank building, buyannemeh street-18, 7th bag, mandalgobi soum
what3words: /// tournaments.expertly.pillbox","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
is the khotkhoit supermarket  atm branch open on sunday?,yes,khotkhoit supermarket  atm,"22nd khoroo, takhilt last bus station, khotkhoit supermarket",mon-sun 8pm-11pm,1800-1888,08:00,23:00
is the ulaangom branch branch open on sunday?,yes,ulaangom branch,"1st floor, uguumur-uguuj llc building, 3rd bag, ulaangom soum
what3words: /// bloodshot.trudges.sake","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
is the gmg shopping center branch open on sunday?,yes,gmg shopping center,"9th khoroo, bayankhoshuu street, jantsan bus station, gmg shopping center ",mon-sun 8am-8pm,1800-1888,08:00,20:00
what are the opening hours for baruun-urt branch branch?,"opening time: 08:30, closing time: 16:30",baruun-urt branch,"mongolbank building, 7th bag, baruun-urt soum
what3words: /// slice.wages.rainwater","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
what are the opening hours for tselmeg supermarket атм branch?,"opening time: 09:00, closing time: 21:00",tselmeg supermarket атм,"uvs province, ulaangom, tselmeg supermarket ",mon-sun 9am-9pm,1800-1888,09:00,21:00
"what is the name of the branch located at 14th khoroo, sun road, bayanzurkh district, bayalag undraa center ?","14th khoroo, sun road, bayanzurkh district, bayalag undraa center ","bayalag-undraa market, express atm-1","14th khoroo, sun road, bayanzurkh district, bayalag undraa center ","mon-sun 8am-8pm  
tuesday closed",1800-1888,08:00,20:00
what are the opening hours for zamiin-uud lobby cash branch?,"opening time: 00:00, closing time: 23:59",zamiin-uud lobby cash,"dornogovi province, zamiin-uud, central square, xacbank",24/7,1800-1888,00:00,23:59
"what is the name of the branch located at darkhan-uul province, darkhan, erdenes plaza ?","darkhan-uul province, darkhan, erdenes plaza ","erdenes plaza, express atm ","darkhan-uul province, darkhan, erdenes plaza ",mon-sun 9am-12pm,1800-1888,09:00,23:59
what are the opening hours for khangai town nomin supermarket atm branch?,"opening time: 08:30, closing time: 22:30",khangai town nomin supermarket atm,"10th khoroo, infront of khangai town, azjargal town, nomin supermarket ",mon-sun 8:30am-10:30pm,1800-1888,08:30,22:30
what are the opening hours for itgelt trade center atm branch?,"opening time: 09:00, closing time: 21:00",itgelt trade center atm,"micro-region #12, chuluun ovoo, iteglt trade center",mon-sun 09:00-21:00,1800-1888,09:00,21:00
what are the opening hours for arkhangai buren hypermarket atm branch?,"opening time: 10:00, closing time: 21:00",arkhangai buren hypermarket atm,arkhangai tsetserleg,mon-sun 10:00-21:00,nan,10:00,21:00
what are the opening hours for bayan-undur branch branch?,"opening time: 08:30, closing time: 16:30",bayan-undur branch,"1st floor of erdenet departmentt store, erdenet hot, bayan-undur soum
what3words: /// armrest.broth.pirate","monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
is the tsogjavkhlan atm branch open on sunday?,yes,tsogjavkhlan atm,"dalanzadgad sum,  ",9am-12pm,1800-1888,09:00,23:59
where is the dornod narlag delguur атм branch located?,"dornod province, kherlen, chita street, narlag delguur dornod ",dornod narlag delguur атм,"dornod province, kherlen, chita street, narlag delguur dornod ",mon-sun 9:30am-10pm,1800-1888,09:30,22:00
is the huchit shonhor branch branch open on sunday?,yes,huchit shonhor branch,"khuchit shonhor llc building, 11th khoroo, chingeltei district
what3words: /// cabs.choppers.disprove","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
"where is the khan-uul branch, express bank  атм branch located?","2nd khoroo, chinggis avenue, khan-uul branch xac bank ","khan-uul branch, express bank  атм","2nd khoroo, chinggis avenue, khan-uul branch xac bank ",mon-sun 24 hour,1800-1888,07:00,23:59
what are the opening hours for hanbogd branch branch?,"opening time: 08:30, closing time: 16:30",hanbogd branch,"ikh ulziit center 2nd floor, tsag uur-2 street, #8, khanbogd soum
what3words: /// sharpens.ladles.worthier","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
"what is the name of the branch located at orkhon province, bayan-undur, uurkhaichin, khangai region shopping center ?","orkhon province, bayan-undur, uurkhaichin, khangai region shopping center ",khangai region shopping center атм,"orkhon province, bayan-undur, uurkhaichin, khangai region shopping center ",mon-sun 10am-7pm,1800-1888,10:00,19:00
where is the tumbaash branch branch located?,"ard ayush avenue, 15th khoroo, 3rd microdistrict, bayangol district
what3words: ///crafts.singer.seaweed ",tumbaash branch,"ard ayush avenue, 15th khoroo, 3rd microdistrict, bayangol district
what3words: ///crafts.singer.seaweed ","monday - friday: 9:00am-5:00pm
saturday, sunday: сlosed",1800-1888,09:00,17:00
