Question,Answer,branch_name,address,phone,timetable,open_time,close_time,question,answer,metadata
what are the weekly opening hours of khusel center atm?,mon-sun 08 am-12 pm,khusel center atm,"micro-region #14, khandgait str,  7-n buudal, khusel center",1800-1888,mon-sun 08 am-12 pm,08:00,23:59,,,
can i visit denjiin 1000 suun atm on sunday?,closed,denjiin 1000 suun atm,"micro-region #10, shinechlel suun",1800-1888,09-22 hour,09:00,21:59,,,
what time does asait-minii delguur атм close?,23:00,asait-minii delguur атм,"22th khoroo, b. dorj street, asait shopping center, minii delguur",1800-1888,"mon-sun 8am-11pm
",09:00,23:00,,,
what time does ulaanbaatar railway hospital atm open?,08:00,ulaanbaatar railway hospital atm,"micro-region #4, peace avenue, ulaanbaatar railway hospital",,mon-sun: 08:00-20:00,08:00,20:00,,,
"what are the weekly opening hours of tedy center, express atm ?",mon-sun 9am-8pm,"tedy center, express atm ","5th khoroo, west selbe street, tedy center, 3nd floor ",1800-1888,mon-sun 9am-8pm,09:00,20:00,,,
"what time does khuvsgul branch, express atm  close on weekdays?",00:00,"khuvsgul branch, express atm ","khuvsgul province, murun, xac bank khuvsgul branch",1800-1888,mon-sun 24/7,00:00,00:00,,,
what are the weekly opening hours of doloon buudal branch?,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",doloon buudal branch,"2nd floor, khuselt center, /7 buudal/, 14th khoroo, sukhbaatar district
what3words: /// mural.dividing.behaving",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what are the opening hours of zamiin-uud lobby cash on monday?,closed,zamiin-uud lobby cash,"dornogovi province, zamiin-uud, central square, xacbank",1800-1888,24/7,00:00,23:59,,,
can i visit nalaikh market express atm on sunday?,closed,nalaikh market express atm,"nalaikh market,  2nd committee, nalaikh district",1800-1888,08:30am-20:00pm,08:30,20:00,,,
is efes supermarket atm open on saturday?,closed,efes supermarket atm,"micro-region #6, district #13, efes supermarket, infront of wrestling palace",18001888,mon-sun: 08:45-23:45,08:45,23:45,,,
what is the address of khid 2 shopping center  atm?,"2nd khoroo, north of variete center, khid 2 shopping center ",khid 2 shopping center  atm,"2nd khoroo, north of variete center, khid 2 shopping center ",1800-1888,tue-sun 9:30pm-9pm,09:30,21:00,,,
can i visit tushig branch on sunday?,closed,tushig branch,"1st floor, tushig center, seoul street, 4th horoo, sukhbaatar district
what3words: /// joys.ally.reduction",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what time does yarmag ulziit supermarket атм close?,21:59,yarmag ulziit supermarket атм,"khan-uul district, 6th khoroo, yarmag ulziit supermarket",1800-1888,mon-sun 8am-10pm,08:00,21:59,,,
"what is the address of shine songolt branch, express bank ?","shine songolt shopping center, shine songolt branch xac bank ","shine songolt branch, express bank ","shine songolt shopping center, shine songolt branch xac bank ",1800-1888,mon-sun 9am-8pm,09:00,20:00,,,
"can i visit old bumbugur, express atm on sunday?",closed,"old bumbugur, express atm","2nd khoroo, ikh toiruu, old bumbugur",1800-1888,tue-sun 9am-8pm,09:00,20:00,,,
what are the opening hours of songinokhairkhan district атм on monday?,closed,songinokhairkhan district атм,songinokhairkhan district,1800-1888,mon-sat 8am-8pm,08:00,20:00,,,
"what is the address of khuchirshonkhor branch, express bank  atm?","11st khoroo, sambalkhundev road, khuchitshonkhor market","khuchirshonkhor branch, express bank  atm","11st khoroo, sambalkhundev road, khuchitshonkhor market",1800-1888,mon-sun 6am-5pm,06:00,17:00,,,
what are the weekly opening hours of tumbaash branch lobby atm?,mon-sun 24 hour,tumbaash branch lobby atm,"15th khoroo, 3rd microdistrict, ard ayush avanue, discovery llc building, xacbank",1800-1888,mon-sun 24 hour,00:00,23:59,,,
what time does railway station atm open?,00:00,railway station atm,"сэлэнгэ аймаг, мандал сум, 1-р баг, төмөр замын өртөө ",1800-1888,24 hour,00:00,23:59,,,
what is the address of tavan-erdene market атм?,"19th khoroo, 4th microdistrict, tavan-erdene market ",tavan-erdene market атм,"19th khoroo, 4th microdistrict, tavan-erdene market ",1800-1888,mon-sun 9am-8pm,09:00,20:00,,,
what are the weekly opening hours of minii supermarket atm?,mon-sun 8am-10pm,minii supermarket atm,"12th khoroo, 1st microdistrict, sappora minii supermarket ",1800-1888,mon-sun 8am-10pm,08:00,22:00,,,
"what are the weekly opening hours of tushig branch, express bank атм?",mon-sun 24 hour,"tushig branch, express bank атм","4th khoroo, seoul road, tushig branc xac bank",1800-1888,mon-sun 24 hour,06:00,23:59,,,
what time does king restaurant атм close?,19:00,king restaurant атм,"khovd province, jargalant, ikh mongol towm, king restaurant ",1800-1888,mon-sun 9am-7pm,09:00,19:00,,,
"what time does jukov market, express atm open?",09:00,"jukov market, express atm","4th khoroo, 15th microdistrict, khilchid street, jukov market",1800-1888,"tue-sun 9am-9pm
monday closed",09:00,21:00,,,
what are the weekly opening hours of bayanmongol branch?,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",bayanmongol branch,"elizabeth town-214, hunnu street, 26th horoo, bayanzurkh district
what3words: /// provide.needed.gossiped",1800-1888,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",08:30,16:30,,,
can i visit gmg shopping center on sunday?,closed,gmg shopping center,"9th khoroo, bayankhoshuu street, jantsan bus station, gmg shopping center ",1800-1888,mon-sun 8am-8pm,08:00,20:00,,,
what is the phone number of ikh ord lobby crm?,1800-1888,ikh ord lobby crm,"14th khoroo, namyanju street, ikh ord shopping center, xacbank ikh ord branch",1800-1888,mon-sun 24 hours,00:00,23:59,,,
what are the opening hours of ulaanbaatar department store atm on monday?,closed,ulaanbaatar department store atm,"micro-region #4, peace avenue, ulaanbaatar department store",1800-1888,mon-sun: 9:00-20:00,09:00,20:00,,,
what time does shine darhan branch close on weekdays?,16:30,shine darhan branch,"2nd floor, tedy center, 15th bag, darkhan soum
what3words: /// shuttling.scars.insulated",1800-1888,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what time does iron хүнсний дэлгүүр атм close?,23:59,iron хүнсний дэлгүүр атм,"6th khoroo, iron supermarket ",1800-1888,mon-sun 9am-12pm,09:00,23:59,,,
what are the weekly opening hours of bayankhongor branch?,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",bayankhongor branch,"1st floor of building 436, 4th street, nomgon lubsandanzanjantsan avenue, 1st bag, bayankhongor soum
 what3words: /// corroding.frighten.redwoods",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what time does xacbank huvsgul branch atm open?,00:00,xacbank huvsgul branch atm,"huvsgul aimag, murun city, xacbank huvsgul branch",1800-1888,24 hour,00:00,23:59,,,
is dunjingarav trade center atm open on saturday?,closed,dunjingarav trade center atm,"micro-region #6, narni rd, dunjingarav trade center",,tue-sun 10:00-20:00,10:00,20:00,,,
"what time does icc tower, express atm open?",08:00,"icc tower, express atm","1st committee, jamiyan gun street, right side of ministry of health, icc tower",1800-1888,mon-sun 8am-8pm,08:00,20:00,,,
what time does general health clinic of bayanzurkh атм open?,07:00,general health clinic of bayanzurkh атм,"22nd khoroo, bayanzurkh district, general health clinic of bayanzurkh ",1800-1888,mon-sun 7am-12pm,07:00,23:59,,,
what is the address of dako center atm?,"bayangol district, 14th khoroo, north east in the urgoo movie teatre, dako center ",dako center atm,"bayangol district, 14th khoroo, north east in the urgoo movie teatre, dako center ",1800-1888,mon-sun 24 hour,07:00,23:59,,,
what is the address of selenge branch атм?,"selenge province, sukhbaatar, xac bank selenge branch ",selenge branch атм,"selenge province, sukhbaatar, xac bank selenge branch ",1800-1888,mon-sun 24 hour,00:00,23:59,,,
"what is the address of darkhan plaza, express atm ?","darkhan-uul province, darkhan, darkhan plaza ","darkhan plaza, express atm ","darkhan-uul province, darkhan, darkhan plaza ",1800-1888,mon-sun 9am-7pm,09:00,19:00,,,
"what are the weekly opening hours of khan jargalant shopping center, express atm  ?",mon-sun 9am-8pm,"khan jargalant shopping center, express atm  ","bulgan province, udval street, khan jargalant shopping center",1800-1888,mon-sun 9am-8pm,09:00,20:00,,,
what are the weekly opening hours of bayangol branch?,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",bayangol branch,"1st floor, solo mall, 13th horoo, bayangol district
what3words: /// alerting.comedians.urban",1800-1888,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",08:30,16:30,,,
is xacbank khan-uul branch atm open on saturday?,closed,xacbank khan-uul branch atm,"micro-region #3, chinggis avenue, xacbank khan-uul branch",1800-1888,24 hour,00:00,23:59,,,
"what time does khuchirshonkhor branch, express bank  atm open?",06:00,"khuchirshonkhor branch, express bank  atm","11st khoroo, sambalkhundev road, khuchitshonkhor market",1800-1888,mon-sun 6am-5pm,06:00,17:00,,,
what is the phone number of tsogttsetsii branch?,1800-1888,tsogttsetsii branch,"xacbank building, tsetsii bag, tsogttsetseii soum
what3words: /// finds.intimates.aerobics",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what time does ard branch close?,16:30,ard branch,"2nd floor of flower center, 1st horoo, baga toiruu, chingeltei district
what3words: ///butlers.verse.gazes",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what is the phone number of bayanzurkh branch?,1800-1888,bayanzurkh branch,"201, building 92a, 13th horoo, peace avenue, bayanzurkh district
what3words: //unwanted.climate.tasteful ",1800-1888,"monday - friday: 9:00am-5:00pm
saturday, sunday: сlosed",09:00,17:00,,,
what time does ekh undarga market atm close on weekdays?,23:00,ekh undarga market atm,"9th khoroo, ekh undarga market",1800-1888,mon-sun 08am-11pm,08:00,23:00,,,
can i visit railway station atm on sunday?,closed,railway station atm,"сэлэнгэ аймаг, мандал сум, 1-р баг, төмөр замын өртөө ",1800-1888,24 hour,00:00,23:59,,,
"what are the opening hours of terelj, zdtg on monday?",closed,"terelj, zdtg","nalaikh, west of terelj hotel, zdtg",1800-1888,mon-sun 8am-12pm,08:00,23:59,,,
what are the opening hours of govi-altai branch atm on monday?,closed,govi-altai branch atm,"govi-altai province, esunbulag, main street, xac bank govi-altai branch ",,24 цаг,01:00,23:59,,,
what time does delgerhaan branch close?,16:30,delgerhaan branch,"murun market place, 4th bag, murun soum,
what3words: /// librarian.importers.ramps",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
is shine huns market atm open on saturday?,closed,shine huns market atm,"micro-region #27, dari eh, shine huns market",,mon- sun: 09:00-23:50,09:00,23:50,,,
what time does khentii mart99 atm close?,23:59,khentii mart99 atm,"kherlen sum, ",1800-1888,mon-sun 08:00-00:00,08:00,23:59,,,
can i visit central square branch on sunday?,closed,central square branch,"xacbank head office, prime minister amar's street, sukhbaatar district
what3words: /// teaching.placidly.each",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
"what time does tushig branch, express bank атм open?",06:00,"tushig branch, express bank атм","4th khoroo, seoul road, tushig branc xac bank",1800-1888,mon-sun 24 hour,06:00,23:59,,,
what time does bayanzurkh 05 branch lobby crm-atm-2 open?,00:00,bayanzurkh 05 branch lobby crm-atm-2,"13rd khoroo, enkhtaivan avenue, 92a-1",1800-1888,mon-sun 24 hours,00:00,23:59,,,
"is khan-uul branch, express bank  атм open on saturday?",closed,"khan-uul branch, express bank  атм","2nd khoroo, chinggis avenue, khan-uul branch xac bank ",1800-1888,mon-sun 24 hour,07:00,23:59,,,
"is ulaankhuaran eco market, atm open on saturday?",closed,"ulaankhuaran eco market, atm","8th khoroo, ulaankhuaran eco market",1800-1888,mon-sun: 09am-6pm,09:00,18:00,,,
"what is the address of old bumbugur, express atm?","2nd khoroo, ikh toiruu, old bumbugur","old bumbugur, express atm","2nd khoroo, ikh toiruu, old bumbugur",1800-1888,tue-sun 9am-8pm,09:00,20:00,,,
what are the weekly opening hours of guyen mini market atm?,mon-sun 8am-11pm,guyen mini market atm,"bayanzurkh district, 28 th khoroo, the gachuurt road, khujirbulan, guyen mini market ",1800-1888,mon-sun 8am-11pm,08:00,23:00,,,
"what time does well mart supermarket, express atm close on weekdays?",22:00,"well mart supermarket, express atm","khan-uul district, 11st khoroo, buyant ukhaa, well mart ",1800-1888,mon-sun 9am-10pm,09:00,22:00,,,
what is the phone number of 21st microdistrict branch?,1800-1888,21st microdistrict branch,"building no.101, #101, sodon khoroolol, 6th khoroo, songinohairhan district 
what3words: /// paints.fights.dimension",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what are the opening hours of e-mart khan-uul express crm-atm on monday?,closed,e-mart khan-uul express crm-atm,"15th khoroo, ikh mongol street 71, e-mart khan-uul",1800-1888,09:00am-10:00pm,09:00,22:00,,,
what is the address of farmet market атм?,"4th khoroo, yarmag, farmer market ",farmet market атм,"4th khoroo, yarmag, farmer market ",1800-1888,mon-sun 10am-8pm,10:00,20:00,,,
what time does nomin united store atm open?,10:00,nomin united store atm,"micro-region #2, chinggis avenue, nomin united store",1800-1888,mon-sun: 10:00-21:00,10:00,21:00,,,
"what time does xacbank bayanmongol branch, express bank атм open?",07:00,"xacbank bayanmongol branch, express bank атм","bayanzurkh district, 26th khoroo, khunnu street, elizabeth town,xacbank bayanmongol branch",1800-1888,mon-sun 24 hour,07:00,23:59,,,
what are the weekly opening hours of kharkhorin atm?,9am-11pm hour,kharkhorin atm,"kharkhorin sum, naranbulag mart",1800-1888,9am-11pm hour,09:00,23:00,,,
what is the address of bayanzurkh branch?,"201, building 92a, 13th horoo, peace avenue, bayanzurkh district
what3words: //unwanted.climate.tasteful ",bayanzurkh branch,"201, building 92a, 13th horoo, peace avenue, bayanzurkh district
what3words: //unwanted.climate.tasteful ",1800-1888,"monday - friday: 9:00am-5:00pm
saturday, sunday: сlosed",09:00,17:00,,,
is ekh undarga market atm open on saturday?,closed,ekh undarga market atm,"9th khoroo, ekh undarga market",1800-1888,mon-sun 08am-11pm,08:00,23:00,,,
is xacbank songino khairkhan branch atm open on saturday?,closed,xacbank songino khairkhan branch atm,"micro-region # 12, district #1 , peace avenue, sapporo busstation, xacbank songino khairkhan branch",1800-1888,24 hour,06:00,23:59,,,
what time does takhilt buudai delguur атм close?,22:59,takhilt buudai delguur атм," 33th khoroo, takhilt, buudai delguur",1800-1888,2023-01-19 14:39,07:00,22:59,,,
"what time does old bumbugur, express atm open?",09:00,"old bumbugur, express atm","2nd khoroo, ikh toiruu, old bumbugur",1800-1888,tue-sun 9am-8pm,09:00,20:00,,,
what is the phone number of automobile purchase loan center 2?,1800-1888,automobile purchase loan center 2,"17th khoroo, sharhad-55, ""da khuree"" market, block b",1800-1888,"tuesday - friday: 8:30am-04:30pm
saturday, sunday: 9:00am-05:00pm
monday: closed.
what3words: ///stays.caring.diets",08:30,16:30,,,
"what time does sunday shopping center, express atm open?",10:00,"sunday shopping center, express atm","14th khoroo, namyanju street, sunday shopping center",1800-1888,"tue-sun 10am-9pm
monday closed",10:00,21:00,,,
